status	group	main_path	main_lines	replacement_or_reason	evidence
DELETE-VERIFIED	main-old-backend-app	src/app/api/web_import_api.py	L1-L898	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/error_handlers.py	L1-L206	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/route_redirects.py	L1-L83	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/routes.py	L1-L93	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/AppHeader.oavnQySz.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/BaseModal.DWFYGyoJ.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/BookshelfView.MhjJHDb8.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/CharacterStudioView.BT66QtoK.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/index.LryjAgvf.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/InsightView.BOvP0KaR.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/marked.kDYEdTTy.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/ReaderView.B7LAIstj.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/assets/TranslateView.6YBvVPoi.css	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/index.html	L1-L22	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/AppHeader.BsmiGBDu.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/BaseModal.C1kGYhRj.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/bookshelf.X4RrJS80.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/bookshelfStore.BX4eJtCc.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/BookshelfView.jMVjbyCl.js	L1-L2	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/CharacterStudioView.6W3MyGe1.js	L1-L4	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/index.BjL5-pWW.js	L1-L149	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/InsightView.Dxnvr8Vy.js	L1-L28	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/marked.esm.DwYzZaa_.js	L1-L63	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/pdf.U7tdldy2.js	L1-L8	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/ReaderView.BGrGgoTf.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/session.BmhOfLGf.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/system.DF6zX2MX.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/TranslateView.BlSMLMgV.js	L1-L116	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/utils-vendor.B9ygI19o.js	L1-L6	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-backend-app	src/app/static/vue/js/vue-vendor.BeT9DmRN.js	L1-L1	由 backend_v2 的 API、领域仓储、Worker 与唯一 /api/v2 契约替代	Git main 路径逐项核对；当前树不存在；无 src.app 导入；OpenAPI 与完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/bookshelf_manager.py	L1-L1165	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/data_migration.py	L1-L258	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/analyzer.py	L1-L426	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/batch_analyzer.py	L1-L160	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/book_pages.py	L1-L201	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/change_detector.py	L1-L267	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/__init__.py	L1-L19	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/adapters.py	L1-L486	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/agent.py	L1-L63	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/png_codec.py	L1-L80	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/runtime.py	L1-L196	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/service.py	L1-L1713	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/store.py	L1-L188	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/character_studio/validators.py	L1-L108	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/clients/provider_registry.py	L1-L50	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/config_utils.py	L1-L657	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/continuation/__init__.py	L1-L32	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/continuation/character_manager.py	L1-L523	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/continuation/image_generator.py	L1-L427	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/continuation/models.py	L1-L210	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/continuation/prompt_validation.py	L1-L104	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/continuation/reference_tokens.py	L1-L224	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/continuation/story_generator.py	L1-L685	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/embedding_builder.py	L1-L309	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/features/__init__.py	L1-L17	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/features/hierarchical_summary.py	L1-L527	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/features/timeline.py	L1-L250	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/features/timeline_enhanced.py	L1-L751	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/features/timeline_models.py	L1-L301	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/incremental_analyzer.py	L1-L598	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/layer_executor.py	L1-L228	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/overview_generator.py	L1-L143	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/overview_templates.py	L1-L380	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/progress_broadcaster.py	L1-L144	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/prompts.py	L1-L206	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/qa.py	L1-L740	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/query_preprocessor.py	L1-L211	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
DELETE-VERIFIED	main-old-core	src/core/manga_insight/reranker_client.py	L1-L199	旧应用编排已删除；仍需算法能力由当前 src/core、src/interfaces、src/shared 或 backend_v2 直接拥有	Git main 路径逐项核对；当前调用图、import 与路径残留搜索闭合；完整后端测试通过
