status	layer	group	contract_or_function	owner	result	evidence
PASS	HTTP	jobs	POST /jobs/reorder	reorderJobs	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/cancel-queued	cancelQueuedJobs	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/history/clear	clearJobHistory	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	GET /job-batches/{batch_id}	getJobBatch	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /job-batches/{batch_id}/cancel	cancelQueuedJobBatchMembers	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /job-batches/{batch_id}/prioritize	prioritizeQueuedJobBatchMembers	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /job-batches/{batch_id}/continue	continueJobBatchMembers	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /jobs/{job_id}/continue	continueInterruptedJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	GET /jobs/{job_id}/download	downloadJobArtifact	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/books/{book_id}/index	getStudioIndex	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/books/{book_id}/candidates	getStudioCandidates	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/books/{book_id}/documents	createStudioDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/books/{book_id}/imports	importStudioDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/assets	uploadStudioAsset	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/documents/{document_id}	getStudioDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	PUT /studio/documents/{document_id}	updateStudioDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	DELETE /studio/documents/{document_id}	deleteStudioDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/documents/{document_id}/generate	generateStudioDocumentSection	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/documents/{document_id}/validate	validateStudioDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/documents/{document_id}/export	exportStudioDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/documents/{document_id}/worldbook/import	importStudioWorldbook	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/documents/{document_id}/agent	streamStudioAgent	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/documents/{document_id}/chat	getStudioChatState	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/documents/{document_id}/chat/sessions	createStudioChatSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/documents/{document_id}/chat/import	importStudioChatSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/chat/sessions/{session_id}	getStudioChatSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	DELETE /studio/chat/sessions/{session_id}	deleteArchivedStudioChatSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/chat/sessions/{session_id}/activate	activateStudioChatSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/chat/sessions/{session_id}/messages	createStudioChatMessage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/chat/sessions/{session_id}/abort	abortStudioChatOperation	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/chat/sessions/{session_id}/summarize	summarizeStudioChatSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/chat/sessions/{session_id}/export	exportStudioChatSession	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	GET /studio/chat/sessions/{session_id}/prompt-preview	previewStudioChatPrompt	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	PUT /studio/chat/messages/{message_id}	editStudioChatMessageAndRegenerate	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	DELETE /studio/chat/messages/{message_id}	deleteStudioChatMessageChain	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	studio	POST /studio/chat/messages/{message_id}/regenerate	regenerateStudioChatMessage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /books	listBooks	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /books	createBook	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /books/batch-delete	batchDeleteBooks	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /books/batch-tags	batchUpdateBookTags	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /books/{book_id}	getBook	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PUT /books/{book_id}	updateBook	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	DELETE /books/{book_id}	deleteBook	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /books/{book_id}/translation-constraints	getBookTranslationConstraints	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PUT /books/{book_id}/translation-constraints	updateBookTranslationConstraints	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /books/{book_id}/chapters	listBookChapters	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /books/{book_id}/chapters	createChapter	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PUT /books/{book_id}/chapters/order	reorderChapters	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PUT /chapters/{chapter_id}	updateChapter	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	DELETE /chapters/{chapter_id}	deleteChapter	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PUT /chapters/{chapter_id}/pages/order	reorderChapterPages	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PATCH /chapters/{chapter_id}/settings-memory	updateChapterSettingsMemory	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PATCH /chapters/{chapter_id}/last-visited-page	updateChapterLastVisitedPage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /chapters/{chapter_id}/translation-jobs	createChapterTranslationJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /translation-batches	createTranslationJobBatch	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /chapters/{chapter_id}/remove-text-jobs	createChapterRemoveTextJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /chapters/{chapter_id}/detect-jobs	createChapterDetectJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	jobs	POST /chapters/{chapter_id}/style-apply-jobs	createChapterStyleApplyJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	transfer	POST /chapters/{chapter_id}/container-import-jobs	createContainerImportJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	transfer	POST /chapters/{chapter_id}/export-jobs	createChapterExportJob	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	transfer	GET /chapters/{chapter_id}/text-export	exportChapterText	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	transfer	POST /chapters/{chapter_id}/text-import/preview	previewChapterTextImport	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	transfer	POST /chapters/{chapter_id}/text-import/commit	commitChapterTextImport	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /chapters/{chapter_id}/pages	listChapterPages	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /chapters/{chapter_id}/pages	importChapterPage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	DELETE /chapters/{chapter_id}/pages	clearChapterPages	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /pages/{page_id}	getPageSummary	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	DELETE /pages/{page_id}	deletePage	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PUT /pages/{page_id}/source	replacePageSource	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	GET /pages/{page_id}/document	getPageDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	PATCH /pages/{page_id}/document	updatePageDocument	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	POST /pages/{page_id}/bubbles	createPageBubble	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	PATCH /pages/{page_id}/bubbles/{bubble_id}	updatePageBubble	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	DELETE /pages/{page_id}/bubbles/{bubble_id}	deletePageBubble	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	pages	GET /pages/{page_id}/render-status	getPageRenderStatus	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /assets/{asset_id}	getImmutableAsset	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /translation/bootstrap	getTranslationBootstrap	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /quick-workspace/reset	resetQuickWorkspace	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /quick-workspace/promote	promoteQuickWorkspace	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	GET /tags	listTags	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	POST /tags	createTag	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	PUT /tags/{tag_id}	updateTag	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	content	DELETE /tags/{tag_id}	deleteTag	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	web-import	POST /web-import/support-checks	checkWebImportSupport	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	web-import	POST /web-import/drafts	createWebImportDraft	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	web-import	GET /web-import/drafts/{draft_id}	getWebImportDraft	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	web-import	DELETE /web-import/drafts/{draft_id}	deleteWebImportDraft	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	web-import	GET /web-import/drafts/{draft_id}/pages	listWebImportDraftPages	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
PASS	HTTP	web-import	PUT /web-import/drafts/{draft_id}/selection	updateWebImportDraftSelection	OpenAPI operationId、Flask 路由与当前实现闭合	181 个当前 HTTP operation 经确定性生成、runtime route 对照和完整后端测试验证
