status	group	path	lines	main_relation	result	evidence
PASS	plugins	plugins/text_mutation_plugin/plugin.py	L1-L35	MODIFIED	当前文件逐行审查及调用链对照完成	逐行审查当前 v3 插件契约、运行时及示例包；插件组合测试通过
PASS	project-config-docs-scripts	requirements-cpu.txt	L1-L60	MODIFIED	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
PASS	project-config-docs-scripts	requirements-gpu.txt	L1-L73	MODIFIED	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
PASS	desktop-launcher	saber_v2.py	L1-L22	NEW	当前文件逐行审查及调用链对照完成	逐行审查 Launcher、GUI、桌宠、进程与设置生命周期；桌面契约测试通过，实机验收另列
PASS	project-config-docs-scripts	scripts/build_desktop_app_icon.py	L1-L52	NEW	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
PASS	project-config-docs-scripts	scripts/build_desktop_pet_assets.py	L1-L352	NEW	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
PASS	project-config-docs-scripts	scripts/check_v2_consistency.py	L1-L51	NEW	当前文件逐行审查及调用链对照完成	逐文件核对当前唯一入口、架构、构建与工具链；解析、help、lint、build 和测试门禁通过
PASS	backend-v2	src/backend_v2/__init__.py	L1-L1	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/api/__init__.py	L1-L1	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/api/app.py	L1-L312	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/api/entrypoint.py	L1-L159	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/api/request_helpers.py	L1-L116	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/api/system_routes.py	L1-L31	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/api/web.py	L1-L47	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/checksums.py	L1-L14	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/content/__init__.py	L1-L1	NEW	Content 包边界为空且无旧导出/兼容入口	逐行阅读、导入闭包与 main 替代关系核对完成
FIXED	backend-v2	src/backend_v2/content/image_import.py	L1-L428	NEW	AUDIT-034	逐行阅读；导入保持逐项落盘与缩略图发布，删除任意页数/条目/聚合大小门槛，保留压缩比和流式资源边界
PASS	backend-v2	src/backend_v2/content/media.py	L1-L66	NEW	资源读取/缩略图响应只解析当前资产记录，不持有业务状态或兼容路径	逐行阅读、调用者、文件生命周期与 Stage2 测试核对完成
FIXED	backend-v2	src/backend_v2/content/page_style.py	L1-L202	NEW	AUDIT-035	逐行阅读；当前样式 schema 与 RGB 输入严格验证，不再夹取或回退畸形颜色
FIXED	backend-v2	src/backend_v2/content/repository.py	L1-L2861	NEW	AUDIT-034/AUDIT-035/AUDIT-037/AUDIT-167；内容状态与共享领域小工具保持唯一 owner	逐行阅读；事务、CAS、排序、当前 schema、快速工作区、标签唯一性、active operation 屏障与 render revision 均已核对
FIXED	backend-v2	src/backend_v2/content/routes.py	L1-L735	NEW	AUDIT-035	逐行阅读；所有 Content JSON、multipart 和 query 命令按当前精确类型/字段校验，不做标量强转或旧命令兼容
FIXED	backend-v2	src/backend_v2/content/translation_constraints.py	L1-L266	NEW	AUDIT-034/AUDIT-035	逐行阅读；无任意条目上限、无重复静默去重、无默认回退，只接受当前完整约束结构
PASS	desktop-launcher	src/backend_v2/desktop/__init__.py	L1-L1	NEW	当前文件逐行审查及调用链对照完成	逐行审查 Launcher、GUI、桌宠、进程与设置生命周期；桌面契约测试通过，实机验收另列
PASS	desktop-launcher	src/backend_v2/desktop/assets/pet/saber_chan/pet.json	L1-L27	NEW	当前文件逐行审查及调用链对照完成	逐行审查 Launcher、GUI、桌宠、进程与设置生命周期；桌面契约测试通过，实机验收另列
FIXED	desktop-launcher	src/backend_v2/desktop/entrypoint.py	L1-L475	NEW	AUDIT-094	逐行核对服务/托盘/窗口/桌宠编排；显式停止、无托盘退出、位置恢复和启动日志生命周期闭合
FIXED	desktop-launcher	src/backend_v2/desktop/pet.py	L1-L482	NEW	AUDIT-094	严格加载当前 atlas；隐藏停表、显示续播、缩放位置保存及跨屏约束完成
PASS	desktop-launcher	src/backend_v2/desktop/pet_state.py	L1-L148	NEW	顶层任务粗粒度投影和前台锁存职责单一，不按原子步骤抖动	逐行核对 15 类任务映射、启动/降级/暂停/终态优先级与 3 秒反应；test_desktop_pet_state.py 7 项覆盖
FIXED	desktop-launcher	src/backend_v2/desktop/settings.py	L1-L183	NEW	AUDIT-094	当前 schema 精确校验、原子保存、无旧版迁移；非法/不可表示值直接舍弃
FIXED	desktop-launcher	src/backend_v2/desktop/task_client.py	L1-L290	NEW	AUDIT-094/AUDIT-163	实时队列不截断，SSE/命令/重试按代次隔离，停止时同步 finished 回调安全，有限超时与错误边界闭合
PASS	desktop-launcher	src/backend_v2/desktop/theme.py	L1-L186	NEW	单一无状态 QSS 主题资源，无业务状态、兼容分支或重复 owner	逐项核对扁平粉白控件、表格、日志、窄滚动条、禁用/悬停/焦点状态；桌面四页实机已验
FIXED	desktop-launcher	src/backend_v2/desktop/window.py	L1-L899	NEW	AUDIT-094	逐页核对概览/任务/日志/设置；即时设置、暂停投影、日志上限和无托盘退出闭合
FIXED	backend-v2	src/backend_v2/dispatch.py	L1-L59	NEW	AUDIT-169；CLI 与 GUI 默认仅监听本机，局域网暴露必须显式启用	逐行核对命令分发与启动参数；AUDIT-169 定向测试及后端全量测试通过
PASS	backend-v2	src/backend_v2/domain/__init__.py	L1-L1	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/domain/state_machines.py	L1-L66	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/import_guard.py	L1-L37	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/insight/__init__.py	L1-L2	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
FIXED	backend-v2	src/backend_v2/insight/commands.py	L1-L517	NEW	AUDIT-049/AUDIT-167；命令到 resolver、job 与 run 的状态所有权唯一	逐行核对当前字段、类型、replay 与事务链；删除 force 和旧 run 回查；后端全量测试通过
FIXED	backend-v2	src/backend_v2/insight/continuation.py	L1-L4009	NEW	AUDIT-030/AUDIT-031/AUDIT-049	逐行阅读；严格当前 schema、完整版本历史、无迁移/fallback/任意数量上限；共享 Insight 配置不再传递死 force 字段
FIXED	backend-v2	src/backend_v2/insight/derived.py	L1-L4639	NEW	AUDIT-019/AUDIT-033/AUDIT-048/AUDIT-049/AUDIT-051/AUDIT-052/AUDIT-167；派生数据与状态 owner 归一	逐行核对 snapshot、layer、overview、timeline、vector 与 QA 链；严格当前 generation、原子导出准入和显式冲突；Stage5 及全量测试通过
FIXED	backend-v2	src/backend_v2/insight/exports.py	L1-L924	NEW	AUDIT-167；复用唯一状态集合与共享后端工具，不保留重复 owner	逐行核对导出冻结快照、事务、并发和失败语义；后端全量测试通过
PASS	backend-v2	src/backend_v2/insight/gc.py	L1-L216	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/insight/page_schema.py	L1-L215	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
FIXED	backend-v2	src/backend_v2/insight/provider_runtime.py	L1-L243	NEW	AUDIT-048	逐行阅读、调用者及无 main 对应关系核对；只从冻结配置和凭据快照构造当前精确 Provider dataclass，不含兼容、迁移或默认回退
FIXED	backend-v2	src/backend_v2/insight/qa.py	L1-L1763	NEW	AUDIT-048/AUDIT-050	逐行阅读、无 main 对应关系及路由/Worker/派生/设置调用链核对；临时请求租约、连接心跳、严格候选/全局上下文/重排/流式模型契约与无任意数量上限均有回归覆盖
FIXED	backend-v2	src/backend_v2/insight/repository.py	L1-L3820	NEW	AUDIT-167；Insight 持久状态与共享小工具保持唯一 owner	逐行核对事务、并发、generation、失败语义和当前 schema；后端全量测试通过
FIXED	backend-v2	src/backend_v2/insight/routes.py	L1-L1212	NEW	AUDIT-030/AUDIT-049/AUDIT-050/AUDIT-052	逐行阅读所有 Insight/续写/QA/笔记/导出 HTTP 与 SSE 路由；严格 query/命令边界、连接续租、空流失败和领域错误映射，无旧路由或兼容分支
PASS	backend-v2	src/backend_v2/insight/worker.py	L1-L383	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/jobs/__init__.py	L1-L1	NEW	Durable jobs 包边界仅声明当前职责，无旧导出或兼容入口	逐行阅读、导入闭包与 main 替代关系核对完成
PASS	backend-v2	src/backend_v2/jobs/events.py	L1-L139	NEW	单一有界广播器按持久 cursor 分发并断开慢消费者；生产启动主动运行，不依赖浏览器首次订阅	逐行阅读线程/关闭/队列/Worker epoch 恢复与 SSE 消费链；Stage3 43 tests 通过
FIXED	backend-v2	src/backend_v2/jobs/repository.py	L1-L5083	NEW	AUDIT-007/AUDIT-036/AUDIT-167；任务状态、批次与事件集合保持唯一 owner	逐行核对 N+1、领取、取消/失败子图、secret 检查点、写锁与 SQLite 预检；任务及后端全量测试通过
FIXED	backend-v2	src/backend_v2/jobs/retry.py	L1-L1168	NEW	AUDIT-036	逐行阅读；重试只接受当前 schema 和精确冻结结构，不过滤畸形条目、不补旧默认或迁移旧快照
FIXED	backend-v2	src/backend_v2/jobs/routes.py	L1-L314	NEW	AUDIT-036	逐行阅读；所有筛选、cursor、revision、策略和顺序 ID 使用精确请求校验，拒绝标量强转与未知枚举
FIXED	backend-v2	src/backend_v2/jobs/worker_loop.py	L1-L1175	NEW	AUDIT-036/AUDIT-040/AUDIT-167；Worker 复用唯一任务状态定义	逐行核对 handler、batch、并行配置与批量大小；Insight layer 动态解析且未知 kind 明确失败；任务及后端全量测试通过
PASS	desktop-launcher	src/backend_v2/launcher/__init__.py	L1-L1	NEW	仅作为无副作用 Launcher 包边界	全文仅职责 docstring，无旧入口导出或初始化副作用
FIXED	desktop-launcher	src/backend_v2/launcher/entrypoint.py	L1-L887	NEW	AUDIT-095	逐行核对单实例、epoch、子进程健康/有限重启与停止闭包；注册失败纳入真实诊断，Windows 真进程恢复通过
PASS	desktop-launcher	src/backend_v2/launcher/windows_job.py	L1-L117	NEW	Windows Job Object 只负责子进程随 Launcher 退出，跨平台边界明确	逐行核对 create/set/assign/close 句柄生命周期；非 Windows no-op 由 POSIX parent monitor 接管；角色集成测试通过
PASS	backend-v2	src/backend_v2/logging_config.py	L1-L144	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/operations/__init__.py	L1-L1	NEW	Operations 包边界为空且不暴露旧 manager/兼容入口	逐行阅读、导入闭包与 main 替代关系核对完成
FIXED	backend-v2	src/backend_v2/operations/executor.py	L1-L406	NEW	AUDIT-037	逐行阅读；attempt heartbeat 有限处理 SQLite BUSY，失租后由持权调度器恢复；handler 结果与发布标记严格验证
FIXED	backend-v2	src/backend_v2/operations/repair.py	L1-L546	NEW	AUDIT-037	逐行阅读；repair 使用当前页样式继承、严格几何/颜色/二值 mask、完整图片资源释放和当前冻结 request，不做旧数据回退
FIXED	backend-v2	src/backend_v2/operations/repository.py	L1-L1713	NEW	AUDIT-037/AUDIT-045	逐行阅读；页面 repair 的 document revision 与全部气泡 updated revision 在同一事务推进，保留 attempt/fence/secret/idempotency 不变量
FIXED	backend-v2	src/backend_v2/operations/routes.py	L1-L235	NEW	AUDIT-037	逐行阅读；operation/repair/event JSON、multipart、cursor、stream 与 limit 精确校验，不接受 bool/object/string 数值强转
PASS	backend-v2	src/backend_v2/paths.py	L1-L57	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/plugins/__init__.py	L1-L2	NEW	仅作为无副作用插件包职责边界	全文不导出旧注册表、不导入模型或启动运行时
FIXED	backend-v2	src/backend_v2/plugins/agent.py	L1-L962	NEW	AUDIT-089	会话状态、规划/启动重入、快照与严格当前 JSON 逐行核对；Plugins 46 tests 通过
PASS	backend-v2	src/backend_v2/plugins/agent_routes.py	L1-L115	NEW	路由只校验当前请求并委托会话服务和持久任务队列	逐行核对严格 allowed_keys、404/409/422 映射、幂等 start；Stage5 Plugin HTTP 契约覆盖
FIXED	backend-v2	src/backend_v2/plugins/agent_tools.py	L1-L254	NEW	AUDIT-089	Agent 工具工作区边界核对；内存分配错误不再转换为可修正验证结果
PASS	backend-v2	src/backend_v2/plugins/agent_worker.py	L1-L345	NEW	Worker 独占 Agent 执行、受控工作区、发布前复验与暂停/取消安全点	逐行核对精确快照、data-root 路径封闭、事件、失败重抛、checkpoint 与 finally 清理；Stage5 Plugin Worker 回归覆盖
FIXED	backend-v2	src/backend_v2/plugins/contract.py	L1-L1115	NEW	AUDIT-092	manifest、配置 schema、hook source/data/output 逐行核对并收紧为当前精确结构；Plugins 51 tests 通过
FIXED	backend-v2	src/backend_v2/plugins/package.py	L1-L166	NEW	AUDIT-087	包哈希、ZIP 建包改为流式，保留确定性元数据与解压安全不变量
FIXED	backend-v2	src/backend_v2/plugins/plugin_builder_skill.md	L1-L109	NEW	AUDIT-092	构建说明与严格 config 默认值、number/select 元数据及无兼容契约同步
FIXED	backend-v2	src/backend_v2/plugins/repository.py	L1-L844	NEW	AUDIT-087/AUDIT-090/AUDIT-144	长文件操作移出 SQLite 写事务，导入/删除文件回滚闭合；版本替换舍弃旧配置；持久命令在同一短事务内提交事实与幂等响应，公开 DTO 不泄漏内部包路径
FIXED	backend-v2	src/backend_v2/plugins/routes.py	L1-L198	NEW	AUDIT-088/AUDIT-144	持久插件命令返回真实幂等重放语义和冲突码；revision 只接受精确正整数
FIXED	backend-v2	src/backend_v2/plugins/runtime.py	L1-L979	NEW	AUDIT-086/AUDIT-092	模块加载全局状态串行化；当前 JSON 严格拒绝；内存失败立即传播；资产发布与原子页面形状边界修正
FIXED	backend-v2	src/backend_v2/plugins/snapshots.py	L1-L78	NEW	AUDIT-086	任务插件快照只接受当前合法 JSON 对象，不默认空值
PASS	backend-v2	src/backend_v2/redaction.py	L1-L185	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/rendering/__init__.py	L1-L2	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/rendering/fonts.py	L1-L135	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/rendering/service.py	L1-L170	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
FIXED	backend-v2	src/backend_v2/runtime_heartbeat.py	L1-L107	NEW	AUDIT-038	逐行核对有限 SQLite BUSY 重试、零行续租自隔离和 shutdown callback；4 tests passed
PASS	backend-v2	src/backend_v2/runtime_identity.py	L1-L113	NEW	Launcher-issued API/Worker 身份与 POSIX 父进程监视职责闭合	逐行核对环境身份、test-mode 隔离、父 PID 校验和 monitor stop 生命周期；角色边界测试通过
PASS	backend-v2	src/backend_v2/serialization.py	L1-L14	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/settings/__init__.py	L1-L1	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/settings/diagnostics.py	L1-L689	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
FIXED	backend-v2	src/backend_v2/settings/resolver.py	L1-L1065	NEW	AUDIT-170；删除检测链隐式参数并保持当前 URL/Provider 配置边界	逐行核对设置解析、凭据物化、默认值与严格类型；AUDIT-170 定向测试及后端全量测试通过
PASS	backend-v2	src/backend_v2/settings/routes.py	L1-L528	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
PASS	backend-v2	src/backend_v2/settings/validation.py	L1-L953	NEW	当前文件逐行审查及调用链对照完成	逐行审查后端领域、事务、并发、失败语义与旧逻辑残留；后端 858 tests
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/AppShell.BZ8ZSVXd.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/BookshelfView.C6odT9Wf.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/CharacterStudioView.DwdItkIa.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/InsightView.DAgLPAJn.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/ProductChoiceCardGrid.BIPqwzYi.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/ProductSearchField.C3ahDeXn.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/ProductThemeToggle.DwAhjRrf.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/ReaderView.BRLLlDsl.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/TranslateView.BvR1r1bJ.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/UiColorInput.Lm-u05mB.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/UiSpinner.I1u1Z8QV.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/clipboard.Bjg8a2lZ.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/index.DlCBNTpj.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/sanitizeHtml.Bn_hH2uQ.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/assets/sse.Dvgv5dEj.css	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/index.html	L1-L21	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/AppShell.BomhbYxb.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/BookshelfView.Cp5K6nw3.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/CharacterStudioView.Ce0_G9wy.js	L1-L9	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/InsightView.BFVFlMi9.js	L1-L2	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/ProductChoiceCardGrid.CIdR0uK1.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/ProductSearchField.Cb3n_IlF.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/ProductThemeToggle.DAoUR1k3.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/ReaderView.Cl3mmJGM.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/TranslateView.DjEqSXNs.js	L1-L140	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/UiColorInput.iXCOqq1p.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/UiSpinner.DABDgElj.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/clipboard.5LnxOATG.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/index.D1zwhhMf.js	L1-L150	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/operations.Dy6ccEwc.js	L1-L1	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/sanitizeHtml.ki_d6GoB.js	L1-L63	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/sse.DAskglAB.js	L1-L3	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
GENERATED-VERIFIED	generated-static	src/backend_v2/static/vue/js/utils-vendor.CzApALvg.js	L1-L9	NEW	当前前端干净构建产物	前端 emptyOutDir 干净构建；39 文件引用闭包完整、0 orphan
